
907281-Dep. Angelo Coronel-07- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907281-Dep. Angelo Coronel-08- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907281-Dep. Angelo Coronel-09- 2007- Divulgação da  atividade parlamentar- 15000
907281-Dep. Angelo Coronel-10- 2007- Divulgação da  atividade parlamentar- 15000
907281-Dep. Angelo Coronel-11- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907281-Dep. Angelo Coronel-12- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
907281-Dep. Angelo Coronel-12- 2007- Divulgação da  atividade parlamentar- 11000
907281-Dep. Angelo Coronel-01- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
907281-Dep. Angelo Coronel-01- 2008- Divulgação da  atividade parlamentar- 5000
907281-Dep. Angelo Coronel-02- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 9800
907281-Dep. Angelo Coronel-02- 2008- Divulgação da  atividade parlamentar- 5200
907281-Dep. Angelo Coronel-03- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
907281-Dep. Angelo Coronel-03- 2008- Divulgação da  atividade parlamentar- 5000
907281-Dep. Angelo Coronel-04- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11000
907281-Dep. Angelo Coronel-04- 2008- Divulgação da  atividade parlamentar- 4000
907281-Dep. Angelo Coronel-05- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11300
907281-Dep. Angelo Coronel-05- 2008- Divulgação da  atividade parlamentar- 3700
907281-Dep. Angelo Coronel-06- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11300
907281-Dep. Angelo Coronel-06- 2008- Divulgação da  atividade parlamentar- 3700
907281-Dep. Angelo Coronel-07- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 3000
907281-Dep. Angelo Coronel-07- 2008- Divulgação da  atividade parlamentar- 12000
907281-Dep. Angelo Coronel-08- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6600
907281-Dep. Angelo Coronel-08- 2008- Divulgação da  atividade parlamentar- 8400
907281-Dep. Angelo Coronel-09- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6600
907281-Dep. Angelo Coronel-09- 2008- Divulgação da  atividade parlamentar- 8400
907281-Dep. Angelo Coronel-10- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6500
907281-Dep. Angelo Coronel-10- 2008- Divulgação da  atividade parlamentar- 8500
907281-Dep. Angelo Coronel-11- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11500
907281-Dep. Angelo Coronel-11- 2008- Divulgação da  atividade parlamentar- 3500
