
921281-Dep. Manassés-02- 2015- Locomoção, hospedagem- 118
921281-Dep. Manassés-03- 2015- Divulgação da  atividade parlamentar- 53000
921281-Dep. Manassés-03- 2015- Locomoção, hospedagem- 2640
921281-Dep. Manassés-05- 2015- Divulgação da  atividade parlamentar- 30000
921281-Dep. Manassés-06- 2015- Divulgação da  atividade parlamentar- 86000
921281-Dep. Manassés-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 678.6900000000001
921281-Dep. Manassés-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 957.4299999999999
921281-Dep. Manassés-08- 2015- Divulgação da  atividade parlamentar- 34960
921281-Dep. Manassés-08- 2015- Locomoção, hospedagem- 733.55
921281-Dep. Manassés-09- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 892.78
921281-Dep. Manassés-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
921281-Dep. Manassés-09- 2015- Divulgação da  atividade parlamentar- 23960
921281-Dep. Manassés-09- 2015- Locomoção, hospedagem- 603.6
921281-Dep. Manassés-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
921281-Dep. Manassés-10- 2015- Divulgação da  atividade parlamentar- 30000
921281-Dep. Manassés-11- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 749.91
921281-Dep. Manassés-11- 2015- Divulgação da  atividade parlamentar- 42000
921281-Dep. Manassés-12- 2015- Divulgação da  atividade parlamentar- 59725
921281-Dep. Manassés-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 44100
921281-Dep. Manassés-03- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 648.8
921281-Dep. Manassés-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
921281-Dep. Manassés-03- 2016- Divulgação da  atividade parlamentar- 86368
921281-Dep. Manassés-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
921281-Dep. Manassés-05- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1942.73
921281-Dep. Manassés-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
921281-Dep. Manassés-06- 2016- Divulgação da  atividade parlamentar- 40000
921281-Dep. Manassés-07- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 313.39
921281-Dep. Manassés-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19000
921281-Dep. Manassés-08- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1469.07
921281-Dep. Manassés-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28000
921281-Dep. Manassés-08- 2016- Divulgação da  atividade parlamentar- 35000
921281-Dep. Manassés-09- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 821.8199999999999
921281-Dep. Manassés-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
921281-Dep. Manassés-09- 2016- Divulgação da  atividade parlamentar- 21300
921281-Dep. Manassés-10- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1297.6
921281-Dep. Manassés-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
921281-Dep. Manassés-10- 2016- Divulgação da  atividade parlamentar- 15000
921281-Dep. Manassés-11- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
921281-Dep. Manassés-11- 2016- Divulgação da  atividade parlamentar- 33612
921281-Dep. Manassés-12- 2016- Divulgação da  atividade parlamentar- 37350
921281-Dep. Manassés-01- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 702.6799999999999
921281-Dep. Manassés-01- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
921281-Dep. Manassés-01- 2017- Divulgação da  atividade parlamentar- 15000
921281-Dep. Manassés-02- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 676.34
921281-Dep. Manassés-02- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 35000
921281-Dep. Manassés-03- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 678.9
921281-Dep. Manassés-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
921281-Dep. Manassés-03- 2017- Divulgação da  atividade parlamentar- 15000
921281-Dep. Manassés-04- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 916.86
921281-Dep. Manassés-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 63000
921281-Dep. Manassés-04- 2017- Divulgação da  atividade parlamentar- 11000
921281-Dep. Manassés-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
921281-Dep. Manassés-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 2500
921281-Dep. Manassés-06- 2017- Divulgação da  atividade parlamentar- 7500
921281-Dep. Manassés-07- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 720.98
921281-Dep. Manassés-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 39000
921281-Dep. Manassés-08- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 710.39
921281-Dep. Manassés-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
