
908845-Dep. Paulo Rangel-07- 2007- Aluguel  de imóveis para escritório; despesas concernentes a eles- 459.78
908845-Dep. Paulo Rangel-07- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 755.89
908845-Dep. Paulo Rangel-07- 2007- Locomoção, hospedagem- 19700
908845-Dep. Paulo Rangel-08- 2007- Divulgação da  atividade parlamentar- 300
908845-Dep. Paulo Rangel-08- 2007- Locomoção, hospedagem- 14108.5
908845-Dep. Paulo Rangel-09- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 311.78
908845-Dep. Paulo Rangel-09- 2007- Locomoção, hospedagem- 10188.84
908845-Dep. Paulo Rangel-10- 2007- Aluguel  de imóveis para escritório; despesas concernentes a eles- 121.53
908845-Dep. Paulo Rangel-10- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 409.85
908845-Dep. Paulo Rangel-10- 2007- Locomoção, hospedagem- 14726.02
908845-Dep. Paulo Rangel-11- 2007- Locomoção, hospedagem- 13100
908845-Dep. Paulo Rangel-12- 2007- Divulgação da  atividade parlamentar- 5000
908845-Dep. Paulo Rangel-12- 2007- Locomoção, hospedagem- 9990
908845-Dep. Paulo Rangel-01- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 155.89
908845-Dep. Paulo Rangel-01- 2008- Locomoção, hospedagem- 14990
908845-Dep. Paulo Rangel-02- 2008- Aluguel  de imóveis para escritório; despesas concernentes a eles- 165.79
908845-Dep. Paulo Rangel-02- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 111.53
908845-Dep. Paulo Rangel-02- 2008- Locomoção, hospedagem- 15283
908845-Dep. Paulo Rangel-03- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 155.89
908845-Dep. Paulo Rangel-03- 2008- Locomoção, hospedagem- 14540
908845-Dep. Paulo Rangel-04- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 176.27
908845-Dep. Paulo Rangel-04- 2008- Divulgação da  atividade parlamentar- 900
908845-Dep. Paulo Rangel-04- 2008- Locomoção, hospedagem- 13747.92
908845-Dep. Paulo Rangel-05- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5338.41
908845-Dep. Paulo Rangel-05- 2008- Locomoção, hospedagem- 10000.2
908845-Dep. Paulo Rangel-06- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
908845-Dep. Paulo Rangel-06- 2008- Locomoção, hospedagem- 10000.2
908845-Dep. Paulo Rangel-07- 2008- Aluguel  de imóveis para escritório; despesas concernentes a eles- 0
908845-Dep. Paulo Rangel-07- 2008- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 431.04
908845-Dep. Paulo Rangel-07- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
908845-Dep. Paulo Rangel-07- 2008- Locomoção, hospedagem- 7313.4
908845-Dep. Paulo Rangel-08- 2008- Aluguel  de imóveis para escritório; despesas concernentes a eles- 700
908845-Dep. Paulo Rangel-08- 2008- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 485.36
908845-Dep. Paulo Rangel-08- 2008- Locomoção, hospedagem- 13660.2
908845-Dep. Paulo Rangel-09- 2008- Aluguel  de imóveis para escritório; despesas concernentes a eles- 700
908845-Dep. Paulo Rangel-09- 2008- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 222.45
908845-Dep. Paulo Rangel-09- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 312.94
908845-Dep. Paulo Rangel-09- 2008- Divulgação da  atividade parlamentar- 10000.2
908845-Dep. Paulo Rangel-09- 2008- Locomoção, hospedagem- 2250
908845-Dep. Paulo Rangel-10- 2008- Aluguel  de imóveis para escritório; despesas concernentes a eles- 700
908845-Dep. Paulo Rangel-10- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 286.43
908845-Dep. Paulo Rangel-10- 2008- Divulgação da  atividade parlamentar- 11020
908845-Dep. Paulo Rangel-10- 2008- Locomoção, hospedagem- 1850
908845-Dep. Paulo Rangel-11- 2008- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 661.52
908845-Dep. Paulo Rangel-11- 2008- Divulgação da  atividade parlamentar- 10900
908845-Dep. Paulo Rangel-12- 2008- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 278.31
908845-Dep. Paulo Rangel-12- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
908845-Dep. Paulo Rangel-12- 2008- Divulgação da  atividade parlamentar- 9700
908845-Dep. Paulo Rangel-01- 2009- Divulgação da  atividade parlamentar- 4300
908845-Dep. Paulo Rangel-01- 2009- Locomoção, hospedagem- 10049.2
908845-Dep. Paulo Rangel-02- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 404.35
908845-Dep. Paulo Rangel-02- 2009- Divulgação da  atividade parlamentar- 11000
908845-Dep. Paulo Rangel-02- 2009- Locomoção, hospedagem- 3696
908845-Dep. Paulo Rangel-03- 2009- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 0
908845-Dep. Paulo Rangel-03- 2009- Divulgação da  atividade parlamentar- 22930
908845-Dep. Paulo Rangel-04- 2009- Locomoção, hospedagem- 6759.6
908845-Dep. Paulo Rangel-05- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4500
908845-Dep. Paulo Rangel-05- 2009- Divulgação da  atividade parlamentar- 4000
908845-Dep. Paulo Rangel-05- 2009- Locomoção, hospedagem- 6000
908845-Dep. Paulo Rangel-06- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
908845-Dep. Paulo Rangel-06- 2009- Divulgação da  atividade parlamentar- 4500
908845-Dep. Paulo Rangel-06- 2009- Locomoção, hospedagem- 5299.8
908845-Dep. Paulo Rangel-07- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 3700
908845-Dep. Paulo Rangel-07- 2009- Divulgação da  atividade parlamentar- 4025.5
908845-Dep. Paulo Rangel-07- 2009- Locomoção, hospedagem- 7248
908845-Dep. Paulo Rangel-08- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
908845-Dep. Paulo Rangel-08- 2009- Divulgação da  atividade parlamentar- 3600
908845-Dep. Paulo Rangel-08- 2009- Locomoção, hospedagem- 15016
908845-Dep. Paulo Rangel-09- 2009- Locomoção, hospedagem- 7248
908845-Dep. Paulo Rangel-10- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
908845-Dep. Paulo Rangel-10- 2009- Locomoção, hospedagem- 9282
908845-Dep. Paulo Rangel-11- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
908845-Dep. Paulo Rangel-11- 2009- Locomoção, hospedagem- 8711
908845-Dep. Paulo Rangel-12- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6000
908845-Dep. Paulo Rangel-12- 2009- Locomoção, hospedagem- 8598
908845-Dep. Paulo Rangel-01- 2010- Divulgação da  atividade parlamentar- 6400
908845-Dep. Paulo Rangel-01- 2010- Locomoção, hospedagem- 8598
908845-Dep. Paulo Rangel-02- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
908845-Dep. Paulo Rangel-02- 2010- Divulgação da  atividade parlamentar- 9900
908845-Dep. Paulo Rangel-02- 2010- Locomoção, hospedagem- 7260
908845-Dep. Paulo Rangel-03- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-03- 2010- Divulgação da  atividade parlamentar- 4999.5
908845-Dep. Paulo Rangel-03- 2010- Locomoção, hospedagem- 8610
908845-Dep. Paulo Rangel-04- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-04- 2010- Divulgação da  atividade parlamentar- 19999
908845-Dep. Paulo Rangel-04- 2010- Locomoção, hospedagem- 21610
908845-Dep. Paulo Rangel-05- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
908845-Dep. Paulo Rangel-05- 2010- Divulgação da  atividade parlamentar- 14999
908845-Dep. Paulo Rangel-05- 2010- Locomoção, hospedagem- 10010
908845-Dep. Paulo Rangel-06- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7000
908845-Dep. Paulo Rangel-06- 2010- Divulgação da  atividade parlamentar- 9999
908845-Dep. Paulo Rangel-06- 2010- Locomoção, hospedagem- 1350
908845-Dep. Paulo Rangel-07- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10500
908845-Dep. Paulo Rangel-07- 2010- Locomoção, hospedagem- 35445.1
908845-Dep. Paulo Rangel-08- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 27500
908845-Dep. Paulo Rangel-08- 2010- Locomoção, hospedagem- 8987
908845-Dep. Paulo Rangel-09- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-09- 2010- Locomoção, hospedagem- 1470
908845-Dep. Paulo Rangel-10- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-10- 2010- Locomoção, hospedagem- 7150
908845-Dep. Paulo Rangel-11- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-11- 2010- Divulgação da  atividade parlamentar- 7300
908845-Dep. Paulo Rangel-11- 2010- Locomoção, hospedagem- 1550
908845-Dep. Paulo Rangel-12- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-12- 2010- Divulgação da  atividade parlamentar- 25000
908845-Dep. Paulo Rangel-01- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17500
908845-Dep. Paulo Rangel-01- 2011- Divulgação da  atividade parlamentar- 1200
908845-Dep. Paulo Rangel-01- 2011- Locomoção, hospedagem- 1350
908845-Dep. Paulo Rangel-02- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
908845-Dep. Paulo Rangel-02- 2011- Divulgação da  atividade parlamentar- 26160
908845-Dep. Paulo Rangel-02- 2011- Locomoção, hospedagem- 10000.48
908845-Dep. Paulo Rangel-03- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
908845-Dep. Paulo Rangel-03- 2011- Divulgação da  atividade parlamentar- 1200
908845-Dep. Paulo Rangel-03- 2011- Locomoção, hospedagem- 1350
908845-Dep. Paulo Rangel-04- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1350
908845-Dep. Paulo Rangel-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 7500
