
921266-Dep. Zó-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 46000
921266-Dep. Zó-03- 2015- Locomoção, hospedagem- 176.6
921266-Dep. Zó-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-04- 2015- Divulgação da  atividade parlamentar- 17000
921266-Dep. Zó-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-06- 2015- Divulgação da  atividade parlamentar- 78500
921266-Dep. Zó-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-08- 2015- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-09- 2015- Divulgação da  atividade parlamentar- 21000
921266-Dep. Zó-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-10- 2015- Divulgação da  atividade parlamentar- 21000
921266-Dep. Zó-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-11- 2015- Divulgação da  atividade parlamentar- 21000
921266-Dep. Zó-12- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921266-Dep. Zó-12- 2015- Divulgação da  atividade parlamentar- 43200
921266-Dep. Zó-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-02- 2016- Divulgação da  atividade parlamentar- 45000
921266-Dep. Zó-02- 2016- Locomoção, hospedagem- 178.5
921266-Dep. Zó-03- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21500
921266-Dep. Zó-03- 2016- Locomoção, hospedagem- 277.5
921266-Dep. Zó-04- 2016- Divulgação da  atividade parlamentar- 14400
921266-Dep. Zó-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921266-Dep. Zó-05- 2016- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-05- 2016- Locomoção, hospedagem- 460
921266-Dep. Zó-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-06- 2016- Divulgação da  atividade parlamentar- 40700
921266-Dep. Zó-07- 2016- Divulgação da  atividade parlamentar- 18000
921266-Dep. Zó-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-08- 2016- Divulgação da  atividade parlamentar- 21000
921266-Dep. Zó-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-09- 2016- Divulgação da  atividade parlamentar- 17800
921266-Dep. Zó-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921266-Dep. Zó-10- 2016- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-11- 2016- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-12- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921266-Dep. Zó-12- 2016- Divulgação da  atividade parlamentar- 31500
921266-Dep. Zó-01- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-01- 2017- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-02- 2017- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-03- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-03- 2017- Locomoção, hospedagem- 146.55
921266-Dep. Zó-04- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921266-Dep. Zó-06- 2017- Divulgação da  atividade parlamentar- 88270
921266-Dep. Zó-07- 2017- Locomoção, hospedagem- 97
921266-Dep. Zó-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-08- 2017- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921266-Dep. Zó-09- 2017- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921266-Dep. Zó-10- 2017- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-11- 2017- Assessorias- 9500
921266-Dep. Zó-11- 2017- Divulgação da  atividade parlamentar- 22000
921266-Dep. Zó-12- 2017- Consultorias- 9500
921266-Dep. Zó-12- 2017- Divulgação da  atividade parlamentar- 54750
