
921271-Dep. Gika Lopes-02- 2015- Locomoção, hospedagem- 102.85
921271-Dep. Gika Lopes-03- 2015- Divulgação da  atividade parlamentar- 20000
921271-Dep. Gika Lopes-03- 2015- Locomoção, hospedagem- 246.81
921271-Dep. Gika Lopes-04- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921271-Dep. Gika Lopes-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921271-Dep. Gika Lopes-04- 2015- Divulgação da  atividade parlamentar- 900
921271-Dep. Gika Lopes-04- 2015- Locomoção, hospedagem- 5660.120000000001
921271-Dep. Gika Lopes-05- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921271-Dep. Gika Lopes-05- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
921271-Dep. Gika Lopes-05- 2015- Divulgação da  atividade parlamentar- 22300
921271-Dep. Gika Lopes-05- 2015- Locomoção, hospedagem- 11264.05
921271-Dep. Gika Lopes-06- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2200
921271-Dep. Gika Lopes-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 29000
921271-Dep. Gika Lopes-06- 2015- Divulgação da  atividade parlamentar- 11400
921271-Dep. Gika Lopes-06- 2015- Locomoção, hospedagem- 10350.14
921271-Dep. Gika Lopes-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1572.09
921271-Dep. Gika Lopes-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-07- 2015- Divulgação da  atividade parlamentar- 1400
921271-Dep. Gika Lopes-07- 2015- Locomoção, hospedagem- 10239.16
921271-Dep. Gika Lopes-08- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 700
921271-Dep. Gika Lopes-08- 2015- Aquisição de material de expediente- 246
921271-Dep. Gika Lopes-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921271-Dep. Gika Lopes-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-08- 2015- Divulgação da  atividade parlamentar- 1657
921271-Dep. Gika Lopes-08- 2015- Locomoção, hospedagem- 10208.38
921271-Dep. Gika Lopes-09- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 700
921271-Dep. Gika Lopes-09- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1738.71
921271-Dep. Gika Lopes-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921271-Dep. Gika Lopes-09- 2015- Divulgação da  atividade parlamentar- 2946
921271-Dep. Gika Lopes-09- 2015- Locomoção, hospedagem- 10122.77
921271-Dep. Gika Lopes-10- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 718.41
