
915871-Dep. Tom Araújo-02- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26550
915871-Dep. Tom Araújo-02- 2011- Divulgação da  atividade parlamentar- 1400
915871-Dep. Tom Araújo-03- 2011- Divulgação da  atividade parlamentar- 24300
915871-Dep. Tom Araújo-04- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 133.49
915871-Dep. Tom Araújo-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-04- 2011- Divulgação da  atividade parlamentar- 600
915871-Dep. Tom Araújo-04- 2011- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
915871-Dep. Tom Araújo-05- 2011- Divulgação da  atividade parlamentar- 11600
915871-Dep. Tom Araújo-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-06- 2011- Divulgação da  atividade parlamentar- 4200
915871-Dep. Tom Araújo-06- 2011- Locomoção, hospedagem- 7500
915871-Dep. Tom Araújo-07- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-07- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 18000
915871-Dep. Tom Araújo-07- 2011- Divulgação da  atividade parlamentar- 1900
915871-Dep. Tom Araújo-07- 2011- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-08- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 3634.52
915871-Dep. Tom Araújo-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24500
915871-Dep. Tom Araújo-08- 2011- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-09- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 958
915871-Dep. Tom Araújo-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 17000
915871-Dep. Tom Araújo-09- 2011- Divulgação da  atividade parlamentar- 2000
915871-Dep. Tom Araújo-09- 2011- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-10- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-10- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 837
915871-Dep. Tom Araújo-10- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8000
915871-Dep. Tom Araújo-10- 2011- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-11- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-11- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-11- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16000
915871-Dep. Tom Araújo-11- 2011- Divulgação da  atividade parlamentar- 23300
915871-Dep. Tom Araújo-12- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-12- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
915871-Dep. Tom Araújo-12- 2011- Divulgação da  atividade parlamentar- 2000
915871-Dep. Tom Araújo-12- 2011- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-01- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-01- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-01- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8000
915871-Dep. Tom Araújo-01- 2012- Divulgação da  atividade parlamentar- 12400
915871-Dep. Tom Araújo-01- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-02- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-02- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 939.8100000000001
915871-Dep. Tom Araújo-02- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8000
915871-Dep. Tom Araújo-02- 2012- Divulgação da  atividade parlamentar- 1250
915871-Dep. Tom Araújo-02- 2012- Locomoção, hospedagem- 7100
915871-Dep. Tom Araújo-03- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-03- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24500
915871-Dep. Tom Araújo-03- 2012- Divulgação da  atividade parlamentar- 1050
915871-Dep. Tom Araújo-03- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-04- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-04- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 8664.68
915871-Dep. Tom Araújo-04- 2012- Divulgação da  atividade parlamentar- 10750
915871-Dep. Tom Araújo-04- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-05- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-05- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 753.45
915871-Dep. Tom Araújo-05- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 8000
915871-Dep. Tom Araújo-05- 2012- Divulgação da  atividade parlamentar- 1150
915871-Dep. Tom Araújo-05- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-06- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-06- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25500
915871-Dep. Tom Araújo-06- 2012- Divulgação da  atividade parlamentar- 19950
915871-Dep. Tom Araújo-06- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-07- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1600
915871-Dep. Tom Araújo-07- 2012- Aquisição de material de expediente- 600
915871-Dep. Tom Araújo-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-07- 2012- Divulgação da  atividade parlamentar- 1250
915871-Dep. Tom Araújo-07- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-08- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 743.5
915871-Dep. Tom Araújo-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
915871-Dep. Tom Araújo-08- 2012- Divulgação da  atividade parlamentar- 4400
915871-Dep. Tom Araújo-08- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-09- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-09- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 684.24
915871-Dep. Tom Araújo-09- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-09- 2012- Divulgação da  atividade parlamentar- 1400
915871-Dep. Tom Araújo-09- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-10- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-10- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 195.72
915871-Dep. Tom Araújo-10- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-10- 2012- Divulgação da  atividade parlamentar- 2050
915871-Dep. Tom Araújo-10- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-11- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-11- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 600
915871-Dep. Tom Araújo-11- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28000
915871-Dep. Tom Araújo-11- 2012- Divulgação da  atividade parlamentar- 800
915871-Dep. Tom Araújo-11- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-12- 2012- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-12- 2012- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 672.48
915871-Dep. Tom Araújo-12- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-12- 2012- Divulgação da  atividade parlamentar- 14360
915871-Dep. Tom Araújo-12- 2012- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-01- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-01- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 669.55
915871-Dep. Tom Araújo-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-01- 2013- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-02- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 800
915871-Dep. Tom Araújo-02- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 725.17
915871-Dep. Tom Araújo-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-02- 2013- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-03- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 800.1700000000001
915871-Dep. Tom Araújo-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
915871-Dep. Tom Araújo-03- 2013- Divulgação da  atividade parlamentar- 500
915871-Dep. Tom Araújo-03- 2013- Locomoção, hospedagem- 6000
915871-Dep. Tom Araújo-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915871-Dep. Tom Araújo-04- 2013- Divulgação da  atividade parlamentar- 1500
