
915878-Dep. Luiza Maia-02- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4956.45
915878-Dep. Luiza Maia-03- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1665.66
915878-Dep. Luiza Maia-03- 2011- Aquisição de material de expediente- 398.41
915878-Dep. Luiza Maia-03- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 26.34
915878-Dep. Luiza Maia-03- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 2500
915878-Dep. Luiza Maia-03- 2011- Locomoção, hospedagem- 9429
915878-Dep. Luiza Maia-04- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 15608.39
915878-Dep. Luiza Maia-04- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1258.86
915878-Dep. Luiza Maia-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10870
915878-Dep. Luiza Maia-04- 2011- Divulgação da  atividade parlamentar- 4120
915878-Dep. Luiza Maia-05- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 7117.940000000001
915878-Dep. Luiza Maia-05- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 4500
915878-Dep. Luiza Maia-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19240
915878-Dep. Luiza Maia-05- 2011- Divulgação da  atividade parlamentar- 5940
915878-Dep. Luiza Maia-05- 2011- Locomoção, hospedagem- 9429
915878-Dep. Luiza Maia-06- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 9708.869999999999
915878-Dep. Luiza Maia-06- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 12095.77
915878-Dep. Luiza Maia-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915878-Dep. Luiza Maia-06- 2011- Locomoção, hospedagem- 18858
915878-Dep. Luiza Maia-07- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 603.13
915878-Dep. Luiza Maia-07- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1648.91
915878-Dep. Luiza Maia-08- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 5103.13
915878-Dep. Luiza Maia-08- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 9346.309999999999
915878-Dep. Luiza Maia-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5000
915878-Dep. Luiza Maia-08- 2011- Divulgação da  atividade parlamentar- 1700
915878-Dep. Luiza Maia-08- 2011- Locomoção, hospedagem- 9429
915878-Dep. Luiza Maia-09- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 10034.88
915878-Dep. Luiza Maia-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12570
915878-Dep. Luiza Maia-09- 2011- Divulgação da  atividade parlamentar- 450
915878-Dep. Luiza Maia-10- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 603.1300000000001
915878-Dep. Luiza Maia-10- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 8370
915878-Dep. Luiza Maia-10- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 336.56
915878-Dep. Luiza Maia-10- 2011- Locomoção, hospedagem- 9950
915878-Dep. Luiza Maia-11- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 5103.13
