
919329-Dep. Marquinho Viana-01- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
919329-Dep. Marquinho Viana-01- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-02- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1200
919329-Dep. Marquinho Viana-02- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23000
919329-Dep. Marquinho Viana-02- 2013- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-02- 2013- Locomoção, hospedagem- 5671.14
919329-Dep. Marquinho Viana-03- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-03- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19300
919329-Dep. Marquinho Viana-03- 2013- Divulgação da  atividade parlamentar- 1900
919329-Dep. Marquinho Viana-03- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-04- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-04- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 908.8099999999999
919329-Dep. Marquinho Viana-04- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 23000
919329-Dep. Marquinho Viana-04- 2013- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-04- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-05- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-05- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 708.6899999999999
919329-Dep. Marquinho Viana-05- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19000
919329-Dep. Marquinho Viana-05- 2013- Divulgação da  atividade parlamentar- 1852.85
919329-Dep. Marquinho Viana-05- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-06- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-06- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 450.16
919329-Dep. Marquinho Viana-06- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19000
919329-Dep. Marquinho Viana-06- 2013- Divulgação da  atividade parlamentar- 12900
919329-Dep. Marquinho Viana-06- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-07- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-07- 2013- Aquisição de material de expediente- 124.28
919329-Dep. Marquinho Viana-07- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 441.31
919329-Dep. Marquinho Viana-07- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
919329-Dep. Marquinho Viana-07- 2013- Divulgação da  atividade parlamentar- 1900
919329-Dep. Marquinho Viana-07- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-08- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-08- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 647.89
919329-Dep. Marquinho Viana-08- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 24000
919329-Dep. Marquinho Viana-08- 2013- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-08- 2013- Locomoção, hospedagem- 5745.43
919329-Dep. Marquinho Viana-09- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-09- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 623.3199999999999
919329-Dep. Marquinho Viana-09- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-09- 2013- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-09- 2013- Locomoção, hospedagem- 5500
919329-Dep. Marquinho Viana-10- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-10- 2013- Aquisição de material de expediente- 67.06
919329-Dep. Marquinho Viana-10- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 411.15
919329-Dep. Marquinho Viana-10- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-10- 2013- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-11- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
919329-Dep. Marquinho Viana-11- 2013- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 629.3000000000001
919329-Dep. Marquinho Viana-11- 2013- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19500
919329-Dep. Marquinho Viana-11- 2013- Divulgação da  atividade parlamentar- 1700
919329-Dep. Marquinho Viana-12- 2013- Aluguel  de imóveis para escritório; despesas concernentes a eles- 600
