
921279-Dep. Marcell Moraes-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 31000
921279-Dep. Marcell Moraes-03- 2015- Divulgação da  atividade parlamentar- 40000
921279-Dep. Marcell Moraes-04- 2015- Divulgação da  atividade parlamentar- 38500
921279-Dep. Marcell Moraes-05- 2015- Divulgação da  atividade parlamentar- 38500
921279-Dep. Marcell Moraes-06- 2015- Divulgação da  atividade parlamentar- 38000
921279-Dep. Marcell Moraes-07- 2015- Divulgação da  atividade parlamentar- 33000
921279-Dep. Marcell Moraes-08- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33000
921279-Dep. Marcell Moraes-08- 2015- Divulgação da  atividade parlamentar- 2800
921279-Dep. Marcell Moraes-09- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
921279-Dep. Marcell Moraes-09- 2015- Divulgação da  atividade parlamentar- 7400
921279-Dep. Marcell Moraes-10- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 40200
921279-Dep. Marcell Moraes-10- 2015- Divulgação da  atividade parlamentar- 2300
921279-Dep. Marcell Moraes-11- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 28400
921279-Dep. Marcell Moraes-11- 2015- Divulgação da  atividade parlamentar- 10100
921279-Dep. Marcell Moraes-12- 2015- Divulgação da  atividade parlamentar- 40700
921279-Dep. Marcell Moraes-01- 2016- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921279-Dep. Marcell Moraes-01- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 19000
921279-Dep. Marcell Moraes-01- 2016- Divulgação da  atividade parlamentar- 16800
921279-Dep. Marcell Moraes-02- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 21400
921279-Dep. Marcell Moraes-02- 2016- Divulgação da  atividade parlamentar- 16500
921279-Dep. Marcell Moraes-03- 2016- Divulgação da  atividade parlamentar- 36300
921279-Dep. Marcell Moraes-04- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 35360
921279-Dep. Marcell Moraes-04- 2016- Divulgação da  atividade parlamentar- 1100
921279-Dep. Marcell Moraes-05- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5100
921279-Dep. Marcell Moraes-06- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15740
921279-Dep. Marcell Moraes-06- 2016- Divulgação da  atividade parlamentar- 56300
921279-Dep. Marcell Moraes-07- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16800
921279-Dep. Marcell Moraes-07- 2016- Divulgação da  atividade parlamentar- 20700
921279-Dep. Marcell Moraes-08- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33900
921279-Dep. Marcell Moraes-08- 2016- Divulgação da  atividade parlamentar- 5100
921279-Dep. Marcell Moraes-09- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 33900
921279-Dep. Marcell Moraes-09- 2016- Divulgação da  atividade parlamentar- 4000
921279-Dep. Marcell Moraes-10- 2016- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 1100
921279-Dep. Marcell Moraes-10- 2016- Divulgação da  atividade parlamentar- 38000
921279-Dep. Marcell Moraes-11- 2016- Divulgação da  atividade parlamentar- 70980
921279-Dep. Marcell Moraes-01- 2017- Divulgação da  atividade parlamentar- 39100
921279-Dep. Marcell Moraes-02- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1100
921279-Dep. Marcell Moraes-02- 2017- Divulgação da  atividade parlamentar- 38000
921279-Dep. Marcell Moraes-03- 2017- Divulgação da  atividade parlamentar- 39040
921279-Dep. Marcell Moraes-04- 2017- Divulgação da  atividade parlamentar- 2450
921279-Dep. Marcell Moraes-05- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16800
921279-Dep. Marcell Moraes-05- 2017- Divulgação da  atividade parlamentar- 57355
921279-Dep. Marcell Moraes-06- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
921279-Dep. Marcell Moraes-06- 2017- Divulgação da  atividade parlamentar- 31200
921279-Dep. Marcell Moraes-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
921279-Dep. Marcell Moraes-07- 2017- Divulgação da  atividade parlamentar- 27500
921279-Dep. Marcell Moraes-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
921279-Dep. Marcell Moraes-08- 2017- Divulgação da  atividade parlamentar- 25600
921279-Dep. Marcell Moraes-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
921279-Dep. Marcell Moraes-09- 2017- Divulgação da  atividade parlamentar- 28800
921279-Dep. Marcell Moraes-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 13800
921279-Dep. Marcell Moraes-10- 2017- Divulgação da  atividade parlamentar- 24600
921279-Dep. Marcell Moraes-11- 2017- Assessorias- 9000
921279-Dep. Marcell Moraes-11- 2017- Divulgação da  atividade parlamentar- 15300
921279-Dep. Marcell Moraes-11- 2017- Divulgação da atividade parlamentar em redes sociais- 3800
921279-Dep. Marcell Moraes-11- 2017- Pesquisas- 4000
