
903706-Dep. Nelson Leal-07- 2007- Divulgação da  atividade parlamentar- 30000
903706-Dep. Nelson Leal-09- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
903706-Dep. Nelson Leal-10- 2007- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-11- 2007- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-12- 2007- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-01- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-02- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-03- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-04- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-05- 2008- Locomoção, hospedagem- 15000
903706-Dep. Nelson Leal-06- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-07- 2008- Locomoção, hospedagem- 15000
903706-Dep. Nelson Leal-08- 2008- Locomoção, hospedagem- 15000
903706-Dep. Nelson Leal-09- 2008- Locomoção, hospedagem- 15000
903706-Dep. Nelson Leal-10- 2008- Locomoção, hospedagem- 15000
903706-Dep. Nelson Leal-11- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-12- 2008- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-01- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-02- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-03- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-04- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-05- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-06- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-07- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-08- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-09- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-10- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-11- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-12- 2009- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-01- 2010- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-01- 2010- Locomoção, hospedagem- 12000
903706-Dep. Nelson Leal-02- 2010- Divulgação da  atividade parlamentar- 15000
903706-Dep. Nelson Leal-02- 2010- Locomoção, hospedagem- 12000
903706-Dep. Nelson Leal-03- 2010- Divulgação da  atividade parlamentar- 29000
903706-Dep. Nelson Leal-04- 2010- Divulgação da  atividade parlamentar- 29000
903706-Dep. Nelson Leal-05- 2010- Divulgação da  atividade parlamentar- 25200
903706-Dep. Nelson Leal-06- 2010- Divulgação da  atividade parlamentar- 28550
903706-Dep. Nelson Leal-07- 2010- Locomoção, hospedagem- 18000
903706-Dep. Nelson Leal-08- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
903706-Dep. Nelson Leal-08- 2010- Locomoção, hospedagem- 18000
903706-Dep. Nelson Leal-09- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
903706-Dep. Nelson Leal-09- 2010- Locomoção, hospedagem- 18000
903706-Dep. Nelson Leal-11- 2010- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 12000
903706-Dep. Nelson Leal-11- 2010- Locomoção, hospedagem- 18000
903706-Dep. Nelson Leal-12- 2010- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14320
903706-Dep. Nelson Leal-12- 2010- Locomoção, hospedagem- 36000
903706-Dep. Nelson Leal-01- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-01- 2011- Locomoção, hospedagem- 5647
903706-Dep. Nelson Leal-02- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-03- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 5400
903706-Dep. Nelson Leal-03- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5083
903706-Dep. Nelson Leal-04- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5500
903706-Dep. Nelson Leal-05- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 11269
903706-Dep. Nelson Leal-06- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-07- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 5380
903706-Dep. Nelson Leal-07- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 6427
903706-Dep. Nelson Leal-08- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4580
903706-Dep. Nelson Leal-09- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-10- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-11- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-12- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 16550
903706-Dep. Nelson Leal-12- 2011- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-01- 2012- Divulgação da  atividade parlamentar- 27000
903706-Dep. Nelson Leal-02- 2012- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-03- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 14770
903706-Dep. Nelson Leal-03- 2012- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-04- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 4000
903706-Dep. Nelson Leal-04- 2012- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-05- 2012- Divulgação da  atividade parlamentar- 23000
903706-Dep. Nelson Leal-06- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 36880
903706-Dep. Nelson Leal-07- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25000
903706-Dep. Nelson Leal-08- 2012- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
