
907264-Dep. Sandro Régis-07- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-08- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-09- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-10- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-11- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-12- 2007- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-01- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-02- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-03- 2008- Locomoção, hospedagem- 15000
907264-Dep. Sandro Régis-04- 2008- Divulgação da  atividade parlamentar- 15000
907264-Dep. Sandro Régis-05- 2008- Locomoção, hospedagem- 15000
907264-Dep. Sandro Régis-06- 2008- Locomoção, hospedagem- 15000
907264-Dep. Sandro Régis-07- 2008- Locomoção, hospedagem- 15000
907264-Dep. Sandro Régis-08- 2008- Locomoção, hospedagem- 15000
907264-Dep. Sandro Régis-09- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-10- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-11- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-12- 2008- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-01- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-02- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-03- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-04- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-05- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-06- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-07- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-08- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-09- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
907264-Dep. Sandro Régis-10- 2009- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
