
915869-Dep. Zé Raimundo-02- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2000
915869-Dep. Zé Raimundo-02- 2011- Aquisição de material de expediente- 38.99
915869-Dep. Zé Raimundo-03- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2000
915869-Dep. Zé Raimundo-03- 2011- Aquisição de material de expediente- 230.17
915869-Dep. Zé Raimundo-03- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2500
915869-Dep. Zé Raimundo-03- 2011- Divulgação da  atividade parlamentar- 5500
915869-Dep. Zé Raimundo-04- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2279.07
915869-Dep. Zé Raimundo-04- 2011- Aquisição de material de expediente- 648.9400000000001
915869-Dep. Zé Raimundo-04- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 884.3099999999999
915869-Dep. Zé Raimundo-04- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-04- 2011- Divulgação da  atividade parlamentar- 0
915869-Dep. Zé Raimundo-04- 2011- Locomoção, hospedagem- 1535
915869-Dep. Zé Raimundo-05- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 254.12
915869-Dep. Zé Raimundo-05- 2011- Aquisição de material de expediente- 324.0700000000001
915869-Dep. Zé Raimundo-05- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2577.93
915869-Dep. Zé Raimundo-05- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 25095
915869-Dep. Zé Raimundo-05- 2011- Divulgação da  atividade parlamentar- 11795
915869-Dep. Zé Raimundo-05- 2011- Locomoção, hospedagem- 0
915869-Dep. Zé Raimundo-06- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 539.79
915869-Dep. Zé Raimundo-06- 2011- Aquisição de material de expediente- 4805.450000000001
915869-Dep. Zé Raimundo-06- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 3762.21
915869-Dep. Zé Raimundo-06- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 30000
915869-Dep. Zé Raimundo-06- 2011- Divulgação da  atividade parlamentar- 18480
915869-Dep. Zé Raimundo-07- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 268.01
915869-Dep. Zé Raimundo-07- 2011- Aquisição de material de expediente- 799.88
915869-Dep. Zé Raimundo-07- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1743.2
915869-Dep. Zé Raimundo-07- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20095
915869-Dep. Zé Raimundo-07- 2011- Divulgação da  atividade parlamentar- 6860
915869-Dep. Zé Raimundo-07- 2011- Locomoção, hospedagem- 359.98
915869-Dep. Zé Raimundo-08- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 4286.23
915869-Dep. Zé Raimundo-08- 2011- Aquisição de material de expediente- 419.13
915869-Dep. Zé Raimundo-08- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 2360.6
915869-Dep. Zé Raimundo-08- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915869-Dep. Zé Raimundo-08- 2011- Divulgação da  atividade parlamentar- 6700
915869-Dep. Zé Raimundo-08- 2011- Locomoção, hospedagem- 248
915869-Dep. Zé Raimundo-09- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2410.59
915869-Dep. Zé Raimundo-09- 2011- Aquisição de material de expediente- 2665.77
915869-Dep. Zé Raimundo-09- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1503.53
915869-Dep. Zé Raimundo-09- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 15000
915869-Dep. Zé Raimundo-09- 2011- Divulgação da  atividade parlamentar- 6700
915869-Dep. Zé Raimundo-10- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 523.76
915869-Dep. Zé Raimundo-10- 2011- Aquisição de material de expediente- 802.45
915869-Dep. Zé Raimundo-10- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1684.55
915869-Dep. Zé Raimundo-10- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-10- 2011- Divulgação da  atividade parlamentar- 11700
915869-Dep. Zé Raimundo-10- 2011- Locomoção, hospedagem- 220
915869-Dep. Zé Raimundo-11- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 255.01
915869-Dep. Zé Raimundo-11- 2011- Aquisição de material de expediente- 200.88
915869-Dep. Zé Raimundo-11- 2011- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6731.39
915869-Dep. Zé Raimundo-11- 2011- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 10000
915869-Dep. Zé Raimundo-11- 2011- Divulgação da  atividade parlamentar- 6700
915869-Dep. Zé Raimundo-12- 2011- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2117.32
