
921272-Dep. Hildécio Meireles-02- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 26.91000000000001
921272-Dep. Hildécio Meireles-02- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
921272-Dep. Hildécio Meireles-03- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 22000
921272-Dep. Hildécio Meireles-03- 2015- Divulgação da  atividade parlamentar- 24000
921272-Dep. Hildécio Meireles-04- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1300
921272-Dep. Hildécio Meireles-04- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 26000
921272-Dep. Hildécio Meireles-04- 2015- Divulgação da  atividade parlamentar- 12000
921272-Dep. Hildécio Meireles-05- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 42.73
921272-Dep. Hildécio Meireles-05- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 6329.79
921272-Dep. Hildécio Meireles-06- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 2869.45
921272-Dep. Hildécio Meireles-06- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 459.69
921272-Dep. Hildécio Meireles-06- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 55000
921272-Dep. Hildécio Meireles-06- 2015- Divulgação da  atividade parlamentar- 24000
921272-Dep. Hildécio Meireles-07- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1446.65
921272-Dep. Hildécio Meireles-07- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 298.42
921272-Dep. Hildécio Meireles-07- 2015- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 12000
921272-Dep. Hildécio Meireles-07- 2015- Divulgação da  atividade parlamentar- 19000
921272-Dep. Hildécio Meireles-08- 2015- Aluguel  de imóveis para escritório; despesas concernentes a eles- 1300
921272-Dep. Hildécio Meireles-08- 2015- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 299
